text,label
我家宽带突然断网了,网络故障
路由器重启以后还是不能上网,网络故障
电脑连上WiFi但打不开网页,网络故障
宽带从昨天晚上开始一直无法使用,网络故障
家里的网络一会儿断一会儿恢复,网络故障
光猫一直闪红灯是什么情况,网络故障
刚安装的宽带连接不上互联网,网络故障
家里网速突然变得特别慢,网络故障
网络连接经常提示超时,网络故障
宽带账号登录后仍然无法上网,网络故障
所有设备都连不上家里的WiFi,网络故障
看视频时网络总是卡住,网络故障
网线插好了但电脑显示无网络,网络故障
路由器指示灯正常但没有网络,网络故障
宽带每隔几分钟就自动掉线,费用问题
这个月话费为什么多扣了,费用问题
我想查询一下账单明细,费用问题
我的账户余额怎么突然少了,费用问题
套餐外流量费用是怎么产生的,费用问题
我已经充了话费为什么还显示欠费,费用问题
这个月的账单比上个月高很多,费用问题
为什么给我收取了短信费用,费用问题
我被重复扣费了，怎么申请退款,费用问题
账单里有一项费用我看不懂,费用问题
手机停机以后为什么还在扣费,费用问题
本月流量费为什么这么高,费用问题
我没有办理这个业务却被收费了,费用问题
话费充值后一直没有到账,费用问题
怎么打印最近三个月的账单,费用问题
合约到期后为什么费用增加了,费用问题
我想换一个流量更多的套餐,套餐业务
现在有什么便宜的套餐可以办理,套餐业务
怎么取消当前的流量套餐,套餐业务
我想办理家庭宽带套餐,套餐业务
学生可以办理什么优惠套餐,套餐业务
我的套餐下个月可以更换吗,套餐业务
我想增加套餐里的通话分钟数,套餐业务
现在的套餐合约什么时候到期,套餐业务
办理新套餐需要去营业厅吗,套餐业务
我不小心订购了一个增值业务,套餐业务
有没有适合老年人使用的套餐,套餐业务
我想把套餐改成最低消费的,套餐业务
副卡可以共享主卡的流量吗,套餐业务
出国前应该办理什么流量包,套餐业务
套餐内剩余流量可以结转吗,套餐业务
我在宿舍里手机信号很差,信号问题
这里经常没有5G信号,信号问题
进入地下停车场以后完全没有信号,信号问题
我家卧室里只有一格手机信号,信号问题
最近手机经常从5G变成4G,信号问题
打电话时声音总是断断续续,信号问题
办公室里无法正常接打电话,信号问题
同一个地方别人有信号但我没有,信号问题
出门以后手机一直显示无服务,信号问题
地铁站附近的移动网络特别差,信号问题
在学校教学楼里收不到验证码,信号问题
手机信号满格但无法使用移动数据,信号问题
最近通话经常突然中断,信号问题
我所在的小区晚上信号特别弱,信号问题
换了新手机后一直搜不到5G网络,信号问题
我要投诉维修师傅一直没来,投诉建议
客服说会处理但一直没有回复,投诉建议
工作人员的服务态度非常差,投诉建议
我已经反馈三次了还是没有解决,投诉建议
预约的上门时间被无故取消了,投诉建议
客服一直让我重复描述同一个问题,投诉建议
我要投诉营业厅工作人员,投诉建议
希望增加人工客服入口,投诉建议
建议提高故障处理效率,投诉建议
问题处理完成后没有人通知我,投诉建议
维修人员迟到了也没有提前说明,投诉建议
希望营业厅周末延长营业时间,投诉建议
客服未经允许就挂断了电话,投诉建议
投诉提交以后一直查不到处理进度,投诉建议
建议在App里增加账单解释功能,投诉建议
