ticket_id,text,label,channel,priority,created_at
T0001,刚查话费时发现流量超出后产生的费用太高了，之前没有注意到。,费用问题,web,medium,2026-03-12
T0002,这几天又出现这种情况：投诉过去一周仍然查不到进展。我需要正式反馈。,投诉建议,phone,medium,2026-03-02
T0003,麻烦尽快查一下，宣传内容和工作人员口头承诺不一致，请告知后续处理时限。,投诉建议,phone,high,2026-01-10
T0004,在视频通话时，进入楼里后手机信号就消失。,信号问题,phone,high,2026-07-24
T0005,麻烦帮我看看，地铁换乘区域的信号特别差，是否需要重新设置网络？,信号问题,web,medium,2026-01-31
T0006,地下通道里短信也收不到，老人使用起来很不方便。,信号问题,web,high,2026-04-17
T0007,刚刚发现手机显示满格信号但网络特别慢，换到室外后才稍微好一些。,信号问题,app,high,2026-01-04
T0008,在 App 的账单页面看到套餐活动价没有出现在本月账单中。,费用问题,app,high,2026-06-11
T0009,想取消下个月自动续费的流量包，我不确定当前号码是否符合办理资格。,套餐业务,phone,low,2026-07-23
T0010,我在宿舍经常遇到这种情况：手机显示满格信号但网络特别慢。,信号问题,web,high,2026-03-27
T0011,营业员介绍的优惠没有体现在账单里，过去几个月的账户记录一直比较正常。,费用问题,phone,high,2026-07-01
T0012,从刚才开始，这个问题一直没有明确结果：营业厅叫号顺序看起来很混乱。,投诉建议,store,low,2026-04-27
T0013,流量超出后产生的费用太高了，请核实支付记录和系统入账情况。,费用问题,app,medium,2026-07-21
T0014,最近连续出现这种情况：充值时银行卡出现了重复扣款。,费用问题,phone,medium,2026-01-02
T0015,从这两天开始，这个问题一直没有明确结果：故障工单显示处理中，实际没有任何反馈。,投诉建议,phone,high,2026-05-06
T0016,最近总是出现这种情况：双卡手机里只有这张卡没有信号。,信号问题,web,high,2026-04-08
T0017,请帮我核实，普通上网正常，游戏却总是断线，大概多久能修复？,网络故障,app,low,2026-02-19
T0018,一个简单的退订流程办了好几天，相关工单已经提交不止一次。,投诉建议,phone,medium,2026-05-30
T0019,需要办理一个更大流量的月套餐，请帮我确认当前状态或可选方案。,套餐业务,phone,medium,2026-03-29
T0020,关于这个号码，我有以下需求：现在的套餐太贵了，想降档。需要准备什么材料？,套餐业务,store,medium,2026-02-02
T0021,想在本月结束前处理以下需求：希望把当前套餐调整到低价档位。,套餐业务,app,medium,2026-06-06
T0022,今天早上又出现这种情况：预约维修时间已经过了却没人来。我需要正式反馈。,投诉建议,app,medium,2026-01-17
T0023,最近一周在商场里发现每天晚上网络都会明显变慢。,网络故障,app,medium,2026-01-24
T0024,实际使用量和账单上的超额流量对不上，我看不出问题具体出在哪个环节。,费用问题,phone,medium,2026-04-13
T0025,平时消费差不多，这个月却扣得特别多，类似记录已经出现不止一次。,费用问题,app,high,2026-06-20
T0026,之前短暂恢复过，但现在又出现同样的问题：办公室所在园区的信号覆盖很差。,信号问题,web,medium,2026-02-20
T0027,最近连续出现这种情况：没有确认过订阅却连续产生费用。,费用问题,app,medium,2026-05-23
T0028,视频看到一半网络就会掉，我不确定是线路、路由器还是账号的问题。,网络故障,phone,high,2026-01-06
T0029,我已经完成充值但网络没有恢复，一天内已经出现好几次。,网络故障,phone,high,2026-07-17
T0030,从从昨天开始开始就出现以下情况：地铁换乘区域的信号特别差。,信号问题,web,high,2026-05-25
T0031,今天下午语音通话总是一卡一卡的，请给我一个明确答复。,信号问题,phone,high,2026-01-20
T0032,套餐活动价没有出现在本月账单中，系统也没有给出清晰提示。,费用问题,web,high,2026-05-27
T0033,最近多次出现以下问题：问题被多个客服重复登记却没人负责。,投诉建议,app,medium,2026-04-06
T0034,从今天下午开始，这个问题一直没有明确结果：服务规则修改后没有说明具体变化。,投诉建议,web,medium,2026-04-27
T0035,我在办公室遇到这个问题：Wi-Fi 有信号却不能使用任何应用。,网络故障,web,high,2026-01-18
T0036,这两天连接无线网后一直提示网络不可用，希望今天能处理好。,网络故障,web,high,2026-02-03
T0037,之前短暂恢复过，但现在又出现同样的问题：双卡手机里只有这张卡没有信号。,信号问题,web,medium,2026-06-30
T0038,我在家里经常遇到这种情况：更换新手机后信号变得很差。,信号问题,phone,high,2026-02-07
T0039,想咨询一下，新开通的宽带账号无法联网，希望彻底解决，不要反复发生。,网络故障,phone,medium,2026-07-10
T0040,请确认以下服务问题产生的原因：希望 App 能直接取消不需要的业务。,投诉建议,web,low,2026-07-07
T0041,想问一下，之前提交的投诉一直没有回复，不希望问题被简单关闭。,投诉建议,web,medium,2026-01-30
T0042,信号图标正常但消息发送不出去，请提供具体排查方法或处理进度。,信号问题,app,medium,2026-05-19
T0043,最近反复出现这种情况：视频看到一半网络就会掉。,网络故障,app,medium,2026-05-06
T0044,在使用相关服务时，我注意到以下问题：App 经常闪退，希望尽快修复。,投诉建议,phone,low,2026-03-14
T0045,最近连续出现这种情况：承诺的折扣没有按约定生效。,费用问题,phone,medium,2026-01-20
T0046,最近多次出现以下问题：连续催了几次报修仍然没有进展。,投诉建议,phone,high,2026-02-26
T0047,刚刚发现室内移动网络基本无法使用，换到室外后才稍微好一些。,信号问题,phone,high,2026-06-01
T0048,在看视频时，Wi-Fi 图标正常，网页还是打不开。,网络故障,app,medium,2026-03-09
T0049,我目前使用的是原来的月套餐，现在有以下需求：有没有可以多人共享的家庭套餐。,套餐业务,web,low,2026-01-16
T0050,刚刚发现刚补交欠费，宽带仍然不能使用，之前使用一直正常。,网络故障,app,medium,2026-07-02
T0051,信号看起来很好，网页却一直加载，重启手机并开关飞行模式后仍然没有改善。,信号问题,web,medium,2026-03-09
T0052,工作人员只介绍优惠，没有说明合约限制，希望尽快安排专人处理。,投诉建议,web,medium,2026-01-20
T0053,从这几天开始就出现以下情况：费用扣款成功后宽带还是无法连接。,网络故障,web,medium,2026-02-10
T0054,刚刚再次遇到退订业务需要重复提交很多材料，之前也发生过类似情况。,投诉建议,store,medium,2026-04-12
T0055,最近 5G 覆盖明显变差，老人使用起来很不方便。,信号问题,app,medium,2026-02-25
T0056,昨晚查看账户时发现暂停服务后账单金额没有减少。,费用问题,web,medium,2026-04-26
T0057,退订业务需要重复提交很多材料，目前没有人明确负责处理。,投诉建议,web,medium,2026-02-07
T0058,请帮忙处理一下，账单只显示总额，没有具体项目，需要我提供支付凭证吗？,费用问题,app,medium,2026-06-14
T0059,刚买的流量包没有到账，想了解具体资费和生效时间。,套餐业务,phone,low,2026-03-24
T0060,月租费用在同一天重复收取，请核实支付记录和系统入账情况。,费用问题,app,medium,2026-01-29
T0061,想咨询一下，账单里出现了没办理过的增值业务，需要我提供支付凭证吗？,费用问题,store,high,2026-03-19
T0062,之前短暂恢复过，但现在又出现同样的问题：新 SIM 卡插入后总是显示无服务。,信号问题,phone,medium,2026-04-16
T0063,从昨天开始只有公司系统无法通过当前网络访问，希望尽快给出解决方案。,网络故障,web,low,2026-04-01
T0064,刚刚再次遇到账单页面层级太深，很难找到明细，之前也发生过类似情况。,投诉建议,phone,medium,2026-05-25
T0065,关于以下需求，我之前咨询或提交过申请，但还没有处理完成：回国后想关闭境外漫游功能。,套餐业务,web,low,2026-05-09
T0066,所有设备都无法访问网络，视频会议一直进行不下去。,网络故障,phone,high,2026-03-01
T0067,请确认以下费用或账务问题的原因：停机状态下增值业务还在扣钱。,费用问题,store,medium,2026-01-18
T0068,请确认以下服务问题产生的原因：退订业务需要重复提交很多材料。,投诉建议,web,high,2026-04-19
T0069,我想确认一下，到郊区后手机长期处于无服务状态。,信号问题,phone,high,2026-04-18
T0070,想咨询一下，下载速度只有以前的一小部分，大概多久能修复？,网络故障,app,high,2026-04-08
T0071,请帮我确认以下网络问题的原因：我已经完成充值但网络没有恢复。,网络故障,app,medium,2026-05-03
T0072,想重新分配套餐里的流量和通话额度，请告知办理步骤和注意事项。,套餐业务,app,medium,2026-04-06
T0073,刚交的话费到现在还没到账，请帮我核对相关账单或支付记录。,费用问题,web,high,2026-07-23
T0074,想咨询校园套餐包含哪些内容，会不会影响现有优惠？,套餐业务,app,medium,2026-05-29
T0075,服务规则修改后没有说明具体变化，已经影响正常办理和使用。,投诉建议,app,low,2026-04-02
T0076,每次咨询都让我重新描述同一个问题，请给出合理解释和改进措施。,投诉建议,app,high,2026-05-05
T0077,请帮忙处理一下，新 SIM 卡插入后总是显示无服务，是否需要重新设置网络？,信号问题,app,medium,2026-07-06
T0078,在使用相关服务时，我注意到以下问题：取消增值服务后系统仍显示生效。,投诉建议,phone,medium,2026-06-18
T0079,刚超了一点流量就被扣了很多钱，如果记录有误，请及时更正或退款。,费用问题,web,medium,2026-06-19
T0080,想问一下，每次咨询都让我重新描述同一个问题，请告知后续处理时限。,投诉建议,app,high,2026-05-01
T0081,周末开始在家里发现新手机连接 Wi-Fi 后无法访问网络。,网络故障,phone,low,2026-05-17
T0082,账单只显示总额，没有具体项目，我看不出问题具体出在哪个环节。,费用问题,web,low,2026-02-02
T0083,麻烦尽快查一下，家里其他设备正常，只有平板无法联网，大概多久能修复？,网络故障,phone,medium,2026-01-20
T0084,活动现场手机一直显示网络拥堵，请提供具体排查方法或处理进度。,信号问题,phone,high,2026-07-14
T0085,麻烦尽快查一下，号码停机期间仍然收取了月租。,费用问题,phone,medium,2026-04-12
T0086,办理页面显示免月租，实际却收了费用，如果记录有误，请及时更正或退款。,费用问题,phone,medium,2026-04-29
T0087,使用电视盒子时出现以下信号问题：进入地铁站后手机完全没有信号。,信号问题,web,medium,2026-07-14
T0088,请帮忙处理一下，缴费成功后系统还是显示停机，大概多久能修复？,网络故障,phone,high,2026-03-01
T0089,请帮忙处理一下，账户余额无缘无故少了很多，需要我提供支付凭证吗？,费用问题,web,medium,2026-02-06
T0090,这两天又出现这种情况：建议增加套餐费用的对比功能。我需要正式反馈。,投诉建议,web,low,2026-06-15
T0091,套餐变更成功后内容仍显示旧版本，这项操作通常什么时候生效？,套餐业务,phone,high,2026-07-17
T0092,麻烦帮我看看，Wi-Fi 有信号却不能使用任何应用，希望彻底解决，不要反复发生。,网络故障,phone,high,2026-07-19
T0093,我核对近期消费记录时发现套餐活动价没有出现在本月账单中。,费用问题,store,high,2026-06-24
T0094,有个问题想反馈，现在的套餐流量太少，想改高一档。,套餐业务,app,medium,2026-01-21
T0095,今天早上又出现这种情况：每次转人工都要等待很久。我需要正式反馈。,投诉建议,app,high,2026-06-19
T0096,请帮忙处理一下，在家里需要走到窗边才能接电话，希望优化这一带的信号覆盖。,信号问题,app,medium,2026-06-27
T0097,我目前使用的是原来的月套餐，现在有以下需求：想了解夜间流量包的使用时间。,套餐业务,app,medium,2026-03-22
T0098,白天网络正常，晚上基本无法使用，视频会议一直进行不下去。,网络故障,phone,medium,2026-02-14
T0099,刚查话费时发现出差后账单里出现了高额漫游费，之前没有注意到。,费用问题,app,high,2026-06-19
T0100,我在地铁站附近遇到这个问题：连接状态很不稳定，经常断线。,网络故障,store,medium,2026-06-02
T0101,我通过在线客服反馈以下问题或建议：App 更新后很多常用功能找不到了。,投诉建议,phone,medium,2026-06-15
T0102,刚刚发现换机前信号正常，换机后经常掉线，换到室外后才稍微好一些。,信号问题,phone,high,2026-06-20
T0103,两张卡在同一手机里信号差别很大，同一位置其他人的情况没有这么严重。,信号问题,web,medium,2026-05-17
T0104,在 App 里没有找到相关入口，我的需求是：想减少每月固定套餐费用。,套餐业务,phone,low,2026-04-03
T0105,这两天我再次反馈以下问题或建议：客服说会安排师傅，但一直没人处理。,投诉建议,web,medium,2026-06-05
T0106,重启手机后才一次收到很多延迟短信，同一位置其他人的情况没有这么严重。,信号问题,app,medium,2026-04-08
T0107,在开视频会议时，线路指示灯没有异常，网页却打不开。,网络故障,phone,medium,2026-04-22
T0108,麻烦尽快查一下，线上缴费完成后号码仍然欠费。,费用问题,phone,medium,2026-04-27
T0109,当前套餐内容和使用习惯不匹配，这项操作通常什么时候生效？,套餐业务,phone,medium,2026-04-30
T0110,漫游套餐已经开通，仍然按原价收费，系统也没有给出清晰提示。,费用问题,app,medium,2026-06-06
T0111,这个号码存在以下费用问题：套餐活动价没有出现在本月账单中。,费用问题,app,medium,2026-05-09
T0112,套餐变更成功后内容仍显示旧版本，是否需要支付额外费用？,套餐业务,store,high,2026-07-05
T0113,想咨询一下，最近接电话经常没有声音，希望优化这一带的信号覆盖。,信号问题,store,medium,2026-01-31
T0114,刚交的话费到现在还没到账，希望提供完整明细和处理结果。,费用问题,phone,medium,2026-07-11
T0115,我核对近期消费记录时发现长期没有使用的号码还在持续扣款。,费用问题,app,high,2026-02-05
T0116,回国后想关闭境外漫游功能，请帮我确认当前状态或可选方案。,套餐业务,store,medium,2026-05-16
T0117,Wi-Fi 图标正常，网页还是打不开，我重新连接网络并重启设备后仍然无效。,网络故障,store,medium,2026-06-13
T0118,上网过程中频繁掉线，家里几个人都没法正常使用。,网络故障,web,high,2026-07-22
T0119,地铁换乘区域的信号特别差，请提供具体排查方法或处理进度。,信号问题,phone,high,2026-02-06
T0120,想了解套餐能否直接注销，会不会影响现有优惠？,套餐业务,store,medium,2026-03-30
T0121,网络连接总是反复中断，我重新连接网络并重启设备后仍然无效。,网络故障,phone,high,2026-07-07
T0122,线路指示灯没有异常，网页却打不开，重启路由器后还是没有改善。,网络故障,app,high,2026-01-08
T0123,从这两天开始，这个问题一直没有明确结果：办理时说可以随时取消，实际却不允许。,投诉建议,app,high,2026-03-13
T0124,前天晚上晚间高峰期网页很难打开，希望今天能处理好。,网络故障,phone,medium,2026-03-20
T0125,办理页面显示免月租，实际却收了费用，我看不出问题具体出在哪个环节。,费用问题,app,medium,2026-07-18
T0126,同一订单支付一次却扣了两笔钱，过去几个月的账户记录一直比较正常。,费用问题,web,medium,2026-02-13
T0127,请帮我核实，想把通话分钟换成更多流量。,套餐业务,store,low,2026-02-24
T0128,账单里有一大笔套餐外流量费，类似记录已经出现不止一次。,费用问题,phone,medium,2026-07-09
T0129,想办理学生优惠流量套餐，请问应该在哪里办理或查询？,套餐业务,phone,medium,2026-06-29
T0130,麻烦尽快查一下，晚间高峰期网页很难打开，大概多久能修复？,网络故障,phone,high,2026-05-09
T0131,使用手机时出现以下信号问题：通话过程中经常突然中断。,信号问题,web,medium,2026-06-10
T0132,套餐到期后自动续约却未提前通知，请给出合理解释和改进措施。,投诉建议,web,low,2026-05-04
T0133,使用电脑时出现以下信号问题：同一栋楼里信号一直很弱。,信号问题,app,high,2026-04-12
T0134,使用路由器连接网络时出现以下情况：大部分应用正常，网课平台一直打不开。,网络故障,app,medium,2026-03-01
T0135,这个号码存在以下费用问题：没有确认过订阅却连续产生费用。,费用问题,store,high,2026-06-13
T0136,最近连续出现这种情况：这期账单金额比上个月多了几十元。,费用问题,phone,medium,2026-05-16
T0137,刚刚发现Wi-Fi 有信号却不能使用任何应用，之前使用一直正常。,网络故障,web,high,2026-02-22
T0138,关于以下需求，我之前咨询或提交过申请，但还没有处理完成：想停止当前的月租套餐。,套餐业务,web,low,2026-04-15
T0139,副卡每个月需要额外收多少费用，线上和营业厅都可以办理吗？,套餐业务,web,low,2026-03-19
T0140,想把原来的副卡更换成另一个号码，我不确定当前号码是否符合办理资格。,套餐业务,app,low,2026-04-05
T0141,想在本月结束前处理以下需求：需要查询当前套餐还能办几张副卡。,套餐业务,app,low,2026-02-08
T0142,切换数据卡后该号码无法联网，请提供具体排查方法或处理进度。,信号问题,phone,medium,2026-05-07
T0143,没有打电话也没用流量，余额却下降了，过去几个月的账户记录一直比较正常。,费用问题,phone,medium,2026-06-21
T0144,在 App 里没有找到相关入口，我的需求是：想了解不同国家的漫游套餐价格。,套餐业务,web,medium,2026-03-10
T0145,请帮我确认以下网络问题的原因：只有公司系统无法通过当前网络访问。,网络故障,phone,medium,2026-05-03
T0146,关于以下需求，我之前咨询或提交过申请，但还没有处理完成：想知道号码是否还在最低消费期。,套餐业务,app,low,2026-06-07
T0147,我在学校经常遇到这种情况：中午休息时间网络速度明显下降。,信号问题,app,medium,2026-02-02
T0148,之前处理后短暂恢复，但现在又出现同样的问题：无线网能搜到但完全不能上网。,网络故障,phone,medium,2026-06-17
T0149,我目前使用的是原来的月套餐，现在有以下需求：准备换运营方式，想先退掉现有套餐。,套餐业务,phone,low,2026-02-14
T0150,刚才在商场里发现宽带移机完成后一直认证失败。,网络故障,phone,medium,2026-02-08
T0151,从昨晚开始，这个问题一直没有明确结果：这个片区居民很多，建议增加服务柜台。,投诉建议,phone,medium,2026-01-07
T0152,活动现场手机一直显示网络拥堵，把手机卡放到另一台设备上测试也差不多。,信号问题,app,high,2026-01-10
T0153,只有支付软件提示网络异常，我重新连接网络并重启设备后仍然无效。,网络故障,app,medium,2026-03-19
T0154,之前联系过客服，但以下问题还没有解决：实际使用量和账单上的超额流量对不上。,费用问题,store,medium,2026-07-02
T0155,在外地打电话产生的费用看不懂，我看不出问题具体出在哪个环节。,费用问题,web,high,2026-07-02
T0156,周末开始在学校发现双卡手机里只有这张卡没有信号。,信号问题,app,high,2026-07-19
T0157,我想确认一下，5G 信号频繁在有和没有之间切换，希望优化这一带的信号覆盖。,信号问题,app,medium,2026-05-18
